,ferc,eia
319,Trans-Allegheny Interstate Line Company,Allegheny Hydro No 8 LP
320,TransCanada Hydro NorthEast Inc.,"TransCanada Hydro Northeast Inc.,"
321,"Transource Missouri, LLC",AES Cypress LLC
322,Trigen-Kansas City Energy Corporation,A B Energy Inc
323,Tucson Electric Power Company,Tucson Electric Power Co
324,TXU Electric Company,Alaska Electric Light & Power Co.
325,TXU SESCO Company,IPA Bellingham Energy Company
326,"UGI Utilities, Inc.","UGI Utilities, Inc"
327,UNION ELECTRIC COMPANY,Union Electric Co
328,"Unitil Energy Systems, Inc.",A B Energy Inc
329,UNITIL Power Corp.,UNITIL Power Corp
330,UNITIL Power Corp.,UNITIL Power Corp
331,"UNS Electric, Inc.",UNS Electric Inc
332,Upper Peninsula Power Company,Upper Peninsula Power Company
333,Valley Electric Association Inc.,Valley Electric Assn Inc
334,"Verde Energy USA, Inc.",A B Energy Inc
335,"Vermont Electric Cooperative, Inc.",AES Shady Point Inc
336,"Vermont Electric Power Company, Inc.",Vermont Electric Power Co Inc
337,"Vermont Electric Transmission Company, Inc.",AES Shady Point Inc
338,Vermont Transco LLC,Adirondack Hydro-4 Branch LLC
339,Vermont Yankee Nuclear Power Corporation,Alamo Power District No 3
340,Village of Morrisville Water and Light Department,Abbeville City of
341,VIRGINIA ELECTRIC AND POWER COMPANY,A & N Electric Coop
342,W.F. Wyman Unit No. 4 Composite Data 100%,Alamo Power District No 3
343,"Wabash Valley Energy Marketing, Inc.",AES Shady Point Inc
344,"Wabash Valley Power Association, Inc.",Wabash Valley Power Assn Inc
345,"Warren Power, LLC",Warren Power LLC
346,"Washington Electric Cooperative, Inc.",Washington Electric Coop Inc
347,Wayne-White Counties Electric Cooperative,A & N Electric Coop
348,Wells Rural Electric Company,Rural Electric Co
349,Wellsboro Electric Company,Canal Electric Co
350,WEST PENN POWER COMPANY,West Penn Power Co
351,"Westar Energy, Inc.",Westar Energy Inc.
352,"Westar Generating, Inc.",A B Energy Inc
353,Western Massachusetts Electric Company,Western Massachusetts Electric Company
354,Wheeling Power Company,Wheeling Power Co
355,"White River Electric Association, Inc.",White River Electric Assn Inc
356,Wisconsin Electric Power Company,Wisconsin Electric Power Co
357,Wisconsin Power and Light Company,Wisconsin Power & Light Co
358,Wisconsin Public Service Corporation,Wisconsin Public Service Corp
359,Wisconsin River Power Company,Wisconsin River Power Co
360,Wolf Creek Nuclear Operating Corporation,Black Creek Town of
361,"Wolverine Power Supply Cooperative, Inc.",AES Shady Point Inc
362,"Yadkin, Inc.",Yadkin Inc
363,Yankee Atomic Electric Company,Yankee Atomic Electric Co
364,York Haven Power Company,York Haven Power Company LLC
